Country,Undernourishment (% of population) '00-'02,Undernourishment (% of population) '07-'09,Undernourishment (% of population) '15-'17,Undernourishment (% of population) '21-'23,Child wasting (% of children under five years old) '98-'02,,Child wasting (% of children under five years old) '06-'10,,Child wasting (% of children under five years old) '14-'18,,Child wasting (% of children under five years old) '19-'23,,Child stunting (% of children under five years old) '98-'02,,Child stunting (% of children under five years old) '06-'10,,Child stunting (% of children under five years old) '14-'18,,Child stunting (% of children under five years old) '19-'23,,Child mortality (% of children under five years old) 2000,Child mortality (% of children under five years old) 2008,Child mortality (% of children under five years old) 2016,Child mortality (% of children under five years old) 2022
Burundi,—,—,—,—,8.1,,5.9,*,5.1,,6,,64,,56.7,*,55.9,,55.9,,15.4,10.3,6.4,5
Cabo Verde,14.9,13.3,16.7,12.6,3.5,*,2.8,*,2.4,,2.5,*,14.1,*,8.5,*,6,,5.8,*,3.4,2.7,1.7,1.2
Cambodia,24.1,13.5,7,4.6,17.1,,9.1,,9.7,,9.6,,49,,39.5,,32.4,,21.9,,10.6,5.1,3,2.4
Cameroon,22.6,11.1,5.3,5.7,7.4,,7.6,,5.2,,4.3,,36.6,,37.6,,31.7,,28.9,,14.5,11.8,8.6,7
Central African Republic,38.2,32.3,22.6,23.5,10.4,,12.1,,6.4,,5.3,,44.4,,43.6,,37.7,,40,,16.5,13.6,11.2,9.7
Chad,38.4,28.1,26.1,35.1,13.9,,16.3,,13.4,,7.8,,38.9,,38.7,,36,,31.9,,18.4,15.6,12.5,10.3
Chile,3.2,3.3,3.2,< 2.5,0.5,,0.3,,0.3,,0.4,*,3,,2,,1.8,,1.8,*,1.1,0.9,0.8,0.6
China,10.1,4,< 2.5,< 2.5,2.5,,2.6,,1.9,,1.6,*,17.8,,9.8,,4.8,,4.2,*,3.7,1.8,1,0.7
Colombia,8.6,11.1,4.6,4.2,1,,0.9,,1.6,,1,*,18.2,,12.6,,12.7,,9.6,*,2.5,2,1.5,1.2
Comoros,24.9,19.9,13.5,16.9,13.3,,8.5,*,7.6,*,5.1,,46.9,,36.1,*,24.5,*,18.2,,9.6,7.7,5.9,4.8
Congo (Republic of),26.9,35.6,29.5,26.8,9.8,*,8,*,8.2,,6.7,*,31.7,*,26.8,*,21.2,,21.6,*,11.3,6.9,5.1,4.2
Costa Rica,4.3,2.7,< 2.5,< 2.5,1.8,*,0.8,,1.8,,1.1,*,10.9,*,5.6,,9,,4.2,*,1.3,1.1,0.9,0.8
Côte d'Ivoire,20.2,18.1,11.9,9.6,6.9,,14.3,,6.1,,8.1,,31.2,,39,,21.6,,23.4,,14.1,11,8.4,6.9
Croatia,7,< 2.5,< 2.5,< 2.5,2.2,*,1.6,*,1.6,*,1.4,*,2.5,*,1.4,*,1.5,*,1.1,*,0.8,0.6,0.5,0.5
Dem. Rep. of the Congo,30.4,30.9,32.1,37,15.9,,10.4,,7.3,,6.6,*,44.4,,45.8,,42.3,,36,*,15.9,12.2,9.2,7.6
Djibouti,41.9,21.2,12.8,12.9,19.4,,17,,12.5,*,10.6,,27.1,,33,,23.8,*,20.9,,10,8.1,6.3,5.2
Dominican Republic,20.5,16.2,6.7,4.6,1.5,,2.3,,1.4,*,2.2,,7.7,,10.1,,5.6,*,6.7,,4,3.5,3.5,3.2
Ecuador,20.1,20.3,9.1,13.9,2.7,,2.1,,1.6,,0.9,,27.9,,25.9,,23.9,,17.5,,2.9,2.1,1.5,1.2
Egypt,4.8,5.1,6.5,8.5,6.9,,7.9,,9.5,,5.3,*,24.4,,30.7,,22.3,,21.1,*,4.7,3.1,2.2,1.8
El Salvador,6.7,9.4,8.5,6.8,1.5,,1.6,,2.1,,2.9,,32.3,,20.8,,13.6,,10,,3.3,2.1,1.5,1.2
Equatorial Guinea,—,—,—,—,9.2,,2.1,*,1.9,*,2.3,*,42.7,,22.6,*,19.1,*,19.2,*,15.5,12,9,7.3
Eritrea,—,—,—,—,15,,14.6,,—,,—,,43,,52.5,,—,,—,,8.6,6,4.5,3.7
Estonia,3.6,< 2.5,< 2.5,< 2.5,1.6,*,1.5,*,1.5,,1.6,*,1.8,*,1.2,*,1.2,,1.1,*,1.1,0.5,0.3,0.2
Eswatini,10.4,11.5,15.9,12.4,1.7,,1.1,,2,,1.8,,36.5,,40.4,,25.5,,20,,11.4,10.4,6.1,5
Ethiopia,46.6,26.8,14,22.2,12.4,,11.4,*,10,,6.8,,57.4,,48.4,*,38.3,,36.8,,14.1,9.2,6,4.6
Fiji,4,3.7,7.5,7.8,7.3,*,6.6,*,7,,4.6,,7,*,5.9,*,6.2,,7.2,,2.3,2.3,2.2,2.8
Gabon,10.8,14.7,15.3,20.1,4.2,,3.5,*,3.6,*,3.4,,25.9,,19.9,*,15.5,*,14.4,,8.4,6.7,4.9,3.9
Gambia,17.9,11.3,12.1,20.5,9.1,,8.5,,6.1,,5.1,,24.1,,25.5,,16.3,,17.5,,11.3,8,5.7,4.6
Georgia,7.3,3.6,6.7,4,3.1,,1.3,,0.6,,0.6,*,16.1,,11.8,,5.8,,5.1,*,3.6,1.7,1,0.9
Ghana,14.9,8.1,9.8,6.2,9.9,,8.7,,5.8,,5.8,,30.6,,28.4,,18.2,,17.4,,10,7.6,5.3,4.2
Guatemala,22.5,18.1,14.8,12.6,3.7,,1,,1.9,,0.8,,51,,51.5,,43.5,,46,,5.2,3.8,2.7,2.2
Guinea,17.9,17.7,13.2,10.3,10.3,,7.2,,8.1,,6.4,,46.9,,34,,32.4,,26.1,,16.6,12.7,11,9.6
Guinea-Bissau,15.7,16.1,28.3,32.2,11.8,,5.9,,6,,6.4,,33.8,,32,,27.6,,27.9,,17.3,12.6,8.9,7.2
Guyana,6,7,3.5,< 2.5,12.1,,6.9,,6.4,,6.5,,13.9,,18.6,,11.3,,9.1,,4.7,3.9,3.2,2.7
Haiti,48.1,46.1,39.1,50.4,5.5,,10.2,,3.7,,5,,28.8,,29.6,,21.9,,22,,10.3,8.3,6.8,5.6
Honduras,21.2,20,14.4,20.4,1.3,,1.4,,1.3,*,1.9,,35.5,,29.8,,22.2,*,18.7,,3.7,2.6,2,1.6
Hungary,< 2.5,< 2.5,< 2.5,< 2.5,1,*,0.9,*,0.9,*,0.8,*,6,*,4.8,*,4.2,*,3.8,*,1,0.7,0.5,0.4
India,18.3,15.6,11.5,13.7,17.7,,20,,20.8,,18.7,,51,,47.8,,37.9,,35.5,,9.2,6.5,4.1,2.9
Indonesia,18.2,16.5,6.7,7.2,5.5,,14.8,,10.2,,10,*,42.3,,40.1,,30.8,,26.8,*,5.2,3.7,2.6,2.1
Iran (Islamic Republic of),4.9,5.8,7.2,6.5,6.1,,4.6,*,4.3,,4.1,*,20.4,,8.7,*,4.8,,5.3,*,3.6,2.2,1.5,1.2
Iraq,20.1,15.6,16.6,16.1,6.6,,5.8,,3,,4,*,28.1,,27.5,,12.6,,15.5,*,4.4,3.7,2.9,2.4
Jamaica,7.2,9,7.6,7.3,3,,2.6,,3.3,,3.2,,7.2,,6.2,,9.3,,4.6,,2.1,1.9,1.9,1.9
Jordan,8.9,6.4,7.8,17.9,2.5,,1.6,,1.8,*,2.3,,11.7,,8.2,,8,*,8.3,,2.7,2.1,1.7,1.4
Kazakhstan,6.5,4.3,< 2.5,< 2.5,2.5,,4.9,,3.1,,3.2,*,13.2,,17.5,,8,,8.8,*,4.2,2.5,1.1,1
Kenya,31.9,26.9,21.8,34.5,7.4,,6.9,,6.7,,4.5,,40.8,,35.5,,28.6,,17.6,,9.6,5.8,4.6,4.1
Korea (DPR),36,40.5,44.2,53.5,12.2,,5.2,,2.5,,6.4,*,51,,32.4,,19.1,,16.8,,10.3,3.2,2,1.7
Kuwait,2.6,< 2.5,< 2.5,< 2.5,2.1,,2.3,,2.3,,3.4,,3.9,,5.1,,6.3,,6.3,,1.3,1.1,0.9,0.9
Kyrgyzstan,14.6,8.5,5.7,6.1,2.6,*,1.4,,2.4,,1,,21,*,22.6,,12.3,,8.6,,4.9,3.4,2.1,1.7
Lao PDR,31.1,18.5,7.1,5.4,17.5,,7.4,,9.4,,10.7,,47.5,,47.7,,34.3,,32.8,,10.7,7.5,5.1,4
Latvia,4.7,< 2.5,< 2.5,< 2.5,1.8,*,1.6,*,1.6,*,1.6,,0.9,*,0.6,*,0.6,*,0.5,,1.4,0.9,0.5,0.3
Lebanon,7.6,8.7,5.8,9.6,3.5,*,3,*,2.7,*,1.4,,13.5,*,10.7,*,9.7,*,7,,2,1.3,1.3,1.7
Lesotho,—,—,—,—,6.1,*,3.8,,2.5,,2.2,*,43.6,*,42,,34,,31.6,*,11.1,11,7.8,7.2
Liberia,36.2,30.1,34.9,38.4,7.4,,7.9,,4.3,,3.4,,45.3,,39.6,,30.1,,29.8,,18.9,10.8,8.6,7.3
Libya,3.5,5.9,8,11.4,6.4,*,6.5,,10.2,,9.3,*,27.2,*,21,,38.1,,35.1,*,2.8,1.9,1.3,1
Lithuania,< 2.5,< 2.5,< 2.5,< 2.5,5.1,*,4.6,*,4.4,*,4.4,,1.5,*,1,*,0.9,*,0.9,,1.1,0.7,0.5,0.4
Madagascar,33.9,30.5,32.3,39.7,9.4,*,8.9,*,6.4,,7.2,,54.3,*,49.4,,41.6,,39.8,,10.5,7.5,6.6,6.6
Malawi,23.3,15.7,15.8,19.9,6.8,,1.9,,3.6,,2.8,,54.7,,48.8,,38.6,,34.8,,17.3,9.3,5.3,4
Malaysia,2.5,3.6,3,< 2.5,15.3,,13.2,,11.6,,11,,20.7,,17.5,,20.8,,21.2,,1,0.8,0.8,0.8
Maldives,—,—,—,—,13.4,,10.6,,9.1,,9,*,31.9,,19,,15.3,,13.7,*,3.9,1.6,0.9,0.6
Mali,16.6,8.7,4.4,9.6,12.6,,12.2,,10.6,,10.6,,42.5,,32.7,,26.4,,21.8,,18.8,14.3,11.2,9.4
Mauritania,8.1,6.9,6.9,9.3,15.3,,8.1,,14.8,,13.6,,38.6,,23.6,,27.9,,25.1,,9.8,6.1,4.8,3.9
Mauritius,5.8,5.1,6.9,5.9,14.7,*,13.8,*,12.4,*,12.5,*,12.5,*,11.1,*,9.3,*,8.4,*,1.9,1.5,1.5,1.5
Mexico,3,4.1,3.7,3.1,2,,3.5,,2,,1,,21.4,,17.4,,10,,12.5,,2.8,2,1.6,1.3
Moldova (Republic of),24.6,22.1,2.7,< 2.5,3.3,*,3.2,*,3.4,*,3.3,*,10.9,*,8.5,*,7.2,*,6.6,*,3.1,1.8,1.5,1.4
Mongolia,30.4,21.9,8.2,< 2.5,7.1,,1.7,,1.2,,1.3,*,29.8,,15.4,,7.3,,11.5,*,6.3,3.1,1.8,1.3
Montenegro,—,< 2.5,< 2.5,< 2.5,—,,4.2,,2.9,*,2.2,,—,,7.9,,7.7,*,7.2,,—,0.8,0.4,0.3
Morocco,5.8,4.8,3.7,6.9,4,*,3.4,*,2.6,,2.3,,25,*,18.8,*,15.1,,14.2,,5.2,3.5,2.2,1.7
Mozambique,36.8,29,44.4,24.8,8.1,,4.2,,4.4,,3.8,,50.7,,43.5,,42.3,,36.7,,17.2,11.4,7.9,6.6
Myanmar,38.6,18.2,4.2,5.3,10.7,,7.9,,6.6,,6.6,*,40.8,,35.1,,29.4,,25.2,*,8.9,10.1,4.9,4
Namibia,15.6,26.5,20.7,22.2,10,,7.6,,6.1,*,6.2,*,29.3,,29.2,,18,*,14.5,*,7.8,5.5,4.5,3.8
Nepal,23.9,13,5.7,5.7,11.3,,12.7,,11.7,,7,,56.1,,49.1,,37.2,,24.8,,7.9,5.3,3.6,2.7
Nicaragua,25.9,19.9,18.3,19.6,2.3,,1.5,,1.3,*,1.1,*,25.1,,23.1,,16.2,*,14.1,*,3.8,2.6,1.9,1.5
Niger,23.2,17.7,12.6,13.3,16.2,,13.4,,10.4,,10.9,,53.5,,45.4,,41.3,,47.7,,22.8,14.7,12.5,11.7
Nigeria,8.8,6.7,10.7,18,12.5,*,9.2,*,9.1,,6.5,,48.2,*,39.5,*,38.3,,31.5,,18.3,14.1,12.5,10.7
North Macedonia,7.5,2.9,3.5,< 2.5,1.9,,2.5,*,2.3,*,3.4,,8,,6.6,*,5.6,*,4.3,,1.6,1.2,1.1,0.5
Oman,13.3,9.7,7.2,5.7,7.8,,7.1,,9.3,,7,*,15.8,,9.8,,11.4,,10.6,*,1.6,1.2,1.1,1.1
Pakistan,20.7,15.2,11.2,20.7,14.1,,11.9,*,7.1,,10.1,*,41.4,,41.1,*,37.6,,33.2,*,10.8,9.1,7.4,6.1
Panama,23.6,13.4,6.6,5.6,1.5,*,1.2,,1,*,1.1,,23.2,*,19,,13.1,*,15.9,,2.6,2,1.7,1.3
Papua New Guinea,26.6,27.5,27.2,27.7,8.1,*,7.9,*,7.2,*,6.9,*,47.3,*,46.7,*,41.6,*,39.8,*,7.2,6.1,5,4.1
Paraguay,9.9,3.4,2.6,4.5,1.6,,1.5,*,1,,1.2,*,13.5,*,11.2,*,5.6,,7.6,*,3.4,2.7,2.1,1.7
Peru,20.3,10.8,6.4,7,1.4,,0.8,,0.8,,0.5,,34.5,,28,,12.2,,11.7,,3.8,2.2,1.7,1.5
Philippines,18.8,11.3,8.6,5.9,8,,6.6,,6.8,,5.4,,38.3,,32,,33.1,,26.7,,3.7,3.1,2.8,2.7
Qatar,—,—,—,—,1.9,*,1.4,*,1.4,*,1.5,*,9.1,*,6.2,*,5.6,*,6.2,*,1.2,1,0.7,0.5
Romania,< 2.5,< 2.5,< 2.5,< 2.5,4.3,,3.3,*,3.3,*,3.1,*,12.8,,10.2,*,9.4,*,8.1,*,2.1,1.4,0.8,0.7
Russian Federation,4.1,< 2.5,< 2.5,< 2.5,4.9,,2.9,*,2.9,*,2.8,*,17.4,*,11.3,*,11,*,10.3,*,1.9,1.1,0.8,0.5
Rwanda,37.7,36.6,33.6,31.4,8.7,,5.1,,2.2,,1.1,,47.9,,46.6,,37.6,,33.1,,18.5,7.6,4.6,3.8
Saudi Arabia,5,5.3,4.1,3,7,*,6.1,*,4.9,,4.5,,19.4,*,16.3,*,17.1,,10.8,,2.2,1.4,0.9,0.6
Senegal,24.4,11.8,8.5,4.6,10,,8.9,*,7.1,,10.2,,26,,21.7,*,17.1,,17.5,,13,7.4,4.8,3.7
Serbia,—,2.8,< 2.5,< 2.5,—,,4,,3.9,,2.6,,—,,7.3,,6,,5.4,,—,0.8,0.6,0.5
Sierra Leone,50.1,39.9,24.9,28.4,11.6,,7.5,,5.9,,6.3,,35.5,,32.7,,30.2,,26.3,,22.5,17.5,12.6,10.1
Slovakia,6.2,5.1,5.3,3.6,1.1,*,1,*,1,*,1,*,7.6,*,5.8,*,5.5,*,5.3,*,1,0.7,0.6,0.6
Solomon Islands,12.6,12.7,17.7,19.4,6.7,*,4.3,,8.5,,5.5,*,35.4,*,32.8,,31.7,,27.4,*,3.1,2.8,2.2,1.8
Somalia,70.2,70.1,59.5,51.3,19.3,,14.3,,11.9,*,11.8,*,29.2,,25.3,,25.8,*,25.6,*,17.2,16.6,12.9,10.6
South Africa,3.7,3.6,6.3,8.1,4.5,,5.4,,2.5,,2.9,*,30.1,,25,,27.4,,17.5,*,7.1,6.8,3.7,3.5
South Sudan,—,—,—,19.6,—,,—,,—,,—,,—,,—,,—,,—,,—,—,9.9,9.9
Sri Lanka,16.6,11,4.3,4.1,15.9,,13.5,,15.1,,10.8,*,18.3,,18.6,,17.3,,12.6,*,1.7,1.2,0.8,0.6
Sudan,—,—,10,11.4,—,,—,,16.3,,17.4,*,—,,—,,38.2,,39.6,*,—,—,6.3,5.2
Suriname,11.1,7.9,9.8,10.1,7,,5,,5.5,,5.2,*,14.1,,9.7,,8.3,,9.1,*,3.1,2.4,2,1.7
Syrian Arab Republic,7.7,5.5,13.4,34,4.9,,10.9,,14.5,*,12,*,24.3,,28.3,,37.6,*,31.3,*,2.3,1.9,3.5,2.1
Tajikistan,40.1,29.9,14.2,8.7,9.4,,5.6,,3.5,,5.1,*,42.1,,34,,19.6,,18.4,*,8.3,4.6,3.7,3
Tanzania (United Rep. of),32.6,25,22.5,23.8,5.6,,2.9,,4.5,,3.1,,48.3,,43.2,,34.5,,30,,12.9,7.7,5.2,4.1
Thailand,17.4,10.8,7.3,5.6,7.8,*,4.7,,5.4,,7.2,,22.1,*,15.7,,10.5,,12.4,,2.1,1.4,1,0.8
Timor-Leste,42.4,28.8,12.4,15.9,13.7,,21.3,,12.2,,8.3,,55.7,,57.2,,49.2,,46.7,,—,7.7,6,4.9
Togo,31.5,22.8,20.7,12.8,12.2,,6,,5.7,,4.4,*,28.8,,26.9,,23.8,,21.3,*,12,9.4,7.3,6
Trinidad & Tobago,9.6,9.4,6.8,12.6,5.2,,5.4,*,4.9,*,5,*,5.3,,5.9,*,5.3,*,5.7,*,2.8,2.4,1.9,1.5
Tunisia,4.1,3.6,3.1,3.2,2.9,,3.4,,2.1,,2.8,*,16.8,,9,,8.4,,8.1,*,2.9,2,1.7,1.1
Türkiye,3.9,< 2.5,< 2.5,< 2.5,3,,1,,1.9,,1.7,,18.8,,12.5,,10,,6,,3.8,2.1,1.3,1
Turkmenistan,6.4,4,3.3,4.1,8,,7.2,,4.2,,4.1,,27.2,,18.9,,11.5,,7.2,,6.9,4.5,4.3,4
Uganda,21,19.7,37.5,36.9,5,,5.3,,4.7,,3.6,,44.9,,38.3,,29.7,,25.4,,14.6,8.7,5.3,4.1
Ukraine,3,< 2.5,< 2.5,5.8,8.2,,2.4,*,2.5,*,2.5,*,22.9,,16.3,*,16.8,*,16.5,*,1.8,1.3,0.9,0.9
United Arab Emirates,3.3,7.5,4.4,2.7,3.5,*,3,*,3.1,*,2.9,*,3,*,2.5,*,2.8,*,2.4,*,1.1,0.9,0.7,0.5
Uruguay,3.2,< 2.5,< 2.5,< 2.5,1.8,,1.5,,0.9,,1.3,*,15.3,,11.8,,10.8,,9.1,*,1.7,1.2,0.8,0.7
Uzbekistan,18,6.4,< 2.5,< 2.5,9,,4.4,,1.8,,2.4,,24.9,,19.6,,10.8,,6.5,,6.2,3.6,1.9,1.3
Venezuela (Boliv. Rep. of),14.1,2.6,17.2,17.6,3.9,,4.5,,3.6,*,3.7,*,17.4,,14.6,,12.2,*,14.4,*,2.2,1.7,2.4,2.4
Viet Nam,19.5,12.7,7.5,5.2,9,,9.4,,6.1,,4.7,,42.5,,30.8,,24.3,,19.5,,3,2.4,2.2,2
Yemen,24.4,23.7,41.3,39.5,16.2,*,13.8,,13,*,16.8,,57,*,57,,44.5,*,48.5,,9.3,6,4.8,4.1
Zambia,50.1,45.4,32.3,35.4,5.9,,5.6,,6.2,,4.2,,59.2,,45.8,,40,,34.6,,15.6,8.8,6.5,5.6
Zimbabwe,32.8,27.2,35.5,38.1,8.3,,2.4,,3.3,,2.9,,33.8,,35.1,,27.1,,23.5,,9.4,9.3,5.7,4.8
