"Country
                        with data from","2000
'98-'02","2008
'06-'10","2016
'14-'18","2024
'19-'23",Absolute change since 2016,% change since 2016,region,region-code
Nigeria,39.5,30.7,30.6,28.8,-1.8,-5.9,Africa,2
North Macedonia,7.6,5.3,5.1,<5,—,—,Europe,150
Oman,15.2,11.5,11.9,9.9,-2,-16.8,Asia,142
Pakistan,36.6,31.4,24.6,27.9,3.3,13.4,Asia,142
Panama,18.7,12.7,8.1,8,-0.1,-1.2,Americas,19
Papua New Guinea,33.7,32.8,30,28.8,-1.2,-4,Oceania,9
Paraguay,11.5,7.5,5,6,1,20,Americas,19
Peru,21.1,13.7,7.6,7.4,-0.2,-2.6,Americas,19
Philippines,24.9,18.9,17.9,14.4,-3.5,-19.6,Asia,142
Qatar,—,—,—,—,—,—,Asia,142
Romania,7.9,5.7,5,<5,—,—,Europe,150
Russian Federation,10.4,5.9,5.4,<5,—,—,Europe,150
Rwanda,49.6,36.4,28.6,25.2,-3.4,-11.9,Africa,2
Saudi Arabia,12.7,10.8,9.4,6.9,-2.5,-26.6,Asia,142
Senegal,34.3,22.1,16.1,15.3,-0.8,-5,Africa,2
Serbia,—,5.9,<5,<5,—,—,Europe,150
Sierra Leone,57.2,45.2,32.8,31.2,-1.6,-4.9,Africa,2
Slovakia,6,<5,<5,<5,—,—,Europe,150
Solomon Islands,20.4,18.2,21.7,19.4,-2.3,-10.6,Oceania,9
Somalia,63.3,59,49.8,44.1,-5.7,-11.4,Africa,2
South Africa,18,16.9,14,12.5,-1.5,-10.7,Africa,2
South Sudan,—,—,—,—,—,—,Africa,2
Sri Lanka,21.7,17.6,15,11.3,-3.7,-24.7,Asia,142
Sudan,—,—,28.3,28.8,0.5,1.8,Africa,2
Suriname,14.8,10.6,11,10.9,-0.1,-0.9,Americas,19
Syrian Arab Republic,13.9,16.9,25.9,30.3,4.4,17,Asia,142
Tajikistan,39.9,28.1,16,13.7,-2.3,-14.4,Asia,142
Tanzania (United Rep. of),40.5,29.7,25,22.7,-2.3,-9.2,Africa,2
Thailand,18.9,12.2,9.5,10.1,0.6,6.3,Asia,142
Timor-Leste,—,44.8,29.4,27,-2.4,-8.2,Asia,142
Togo,38.2,28.2,24.4,18.6,-5.8,-23.8,Africa,2
Trinidad & Tobago,10.8,10.6,8.6,10.8,2.2,25.6,Americas,19
Tunisia,10.1,7.4,6.1,5.9,-0.2,-3.3,Africa,2
Türkiye,11.4,6.5,5.4,<5,—,—,Asia,142
Turkmenistan,20.2,14.4,10.5,9.5,-1,-9.5,Asia,142
Uganda,36.1,28.5,30.3,27.3,-3,-9.9,Africa,2
Ukraine,13,6.9,7.2,8.6,1.4,19.4,Europe,150
United Arab Emirates,5.1,6.3,<5,<5,—,—,Asia,142
Uruguay,7.6,5.3,<5,<5,—,—,Americas,19
Uzbekistan,24.3,13.2,5.9,<5,—,—,Asia,142
Venezuela (Boliv. Rep. of),14.3,8.7,14.4,15.1,0.7,4.9,Americas,19
Vietnam,26.1,20.1,14.4,11.3,-3.1,-21.5,Asia,142
Yemen,41.6,36.8,39.6,41.2,1.6,4,Asia,142
Zambia,53.1,41.3,32.6,30.7,-1.9,-5.8,Africa,2
Zimbabwe,35.3,29.9,28.5,27.6,-0.9,-3.2,Africa,2
